rank,drug_name,target,binding_score
711,ivabradine hcl,New Target,1915.84
712,guggulsterone,New Target,1917.34
713,chlorpropamide,New Target,1922.78
714,ataluren,New Target,1924.85
715,bromantan,New Target,1925.27
716,dihydroartemisinin,New Target,1927.33
717,propranolol hydrochloride,New Target,1929.74
718,citalopram,New Target,1933.72
719,carbetapentane,New Target,1941.08
720,limaprost-alfadex,New Target,1945.05
721,carmofur,New Target,1955.33
722,quinagolide,New Target,1957.26
723,balsalazide,New Target,1957.59
724,clorofene,New Target,1971.97
725,guacetisal,New Target,1984.98
726,eucalyptol,New Target,1994.57
727,stetaderm,New Target,1996.26
728,selegiline,New Target,1998.33
729,enilconazole,New Target,1999.25
730,migalastat,New Target,2002.15
731,acetylcysteine,New Target,2002.44
732,fenthion,New Target,2003.48
733,chiniofon,New Target,2006.61
734,carbinoxamine,New Target,2008.89
735,cevimeline hydrochloride,New Target,2009.01
736,silibinin,New Target,2016.82
737,l-theanine,New Target,2017.27
738,epoprostenol,New Target,2023.41
739,ivabradine,New Target,2031.67
740,mecamylamine,New Target,2033.67
741,lobenzarit,New Target,2035.5
742,niflumic-acid,New Target,2036.93
743,belzutifan,New Target,2050.71
744,yohimbine,New Target,2058.12
745,trioxsalen,New Target,2061.33
746,amlexanox,New Target,2071.76
747,clonidine,New Target,2072.06
748,propranolol,New Target,2076.55
749,hexylcaine,New Target,2077.44
750,mecamylamine hydrochloride,New Target,2082.21
751,fosinoprilat,New Target,2084.57
752,dapoxetine,New Target,2094.35
753,olanzapine,New Target,2106.72
754,loxoprofen,New Target,2113.77
755,norfloxacin,New Target,2117.09
756,cleviprex,New Target,2122.04
757,disopyramide,New Target,2127.47
758,albendazole-oxide,New Target,2128.45
759,floctafenine,New Target,2130.72
760,betaxolol,New Target,2135.32
761,piroxicam,New Target,2135.64
762,padimate o,New Target,2151.28
763,axitinib,New Target,2152.62
764,ezetimibe,New Target,2156.32
765,nomifensine,New Target,2158.32
766,isavuconazole,New Target,2161.6
767,doxycycline hcl,New Target,2164.91
768,morniflumate,New Target,2171.26
769,quetiapine,New Target,2176.11
770,piretanide,New Target,2176.58
771,tamibarotene,New Target,2178.86
772,pentostatin,New Target,2187.04
773,pranoprofen,New Target,2198.88
774,ranitidine,New Target,2198.98
775,amtolmetin-guacil,New Target,2206.3
776,nateglinide,New Target,2207.39
777,tropicamide,New Target,2215.71
778,silymarin,New Target,2221.29
779,mefloquine,New Target,2225.06
780,difloxacin,New Target,2232.85
781,flutemetamol,New Target,2235.39
782,azaperone,New Target,2236.32
783,oxybutynin,New Target,2254.14
784,ceramide,New Target,2255.26
785,carbidopa,New Target,2261.81
786,piroctone-olamine,New Target,2262.03
787,ifenprodil,New Target,2265.0
788,acetophenazine,New Target,2270.71
789,medroxyprogesterone acetate,New Target,2272.31
790,ruxolitinib,New Target,2278.02
791,urapidil,New Target,2286.25
792,bempedoic-acid,New Target,2297.32
793,voxelotor,New Target,2300.61
794,ketorolac,New Target,2307.22
795,piperonyl-butoxide,New Target,2312.28
796,baricitinib,New Target,2328.17
797,betaxolol hydrochloride,New Target,2333.82
798,dimetindene,New Target,2346.71
